[23-Mar-2026 23:31:58 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[24-Mar-2026 00:07:49 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:07:55 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:08:00 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:08:11 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:09:56 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:10:12 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:11:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:11:19 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:11:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:11:30 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:12:45 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:12:55 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:15 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:24 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:31 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:35 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:45 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:13:55 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:15 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:24 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:35 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:38 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:46 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:48 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:57 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:14:59 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:31 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:32 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:42 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:43 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:53 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:15:53 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:16:03 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:16:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3419
[24-Mar-2026 00:16:05 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 2671
[06-Apr-2026 16:26:46 UTC] PHP Fatal error:  Out of memory (allocated 39845888 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 1987
[06-Apr-2026 16:26:46 UTC] PHP Fatal error:  Out of memory (allocated 39845888 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[06-Apr-2026 16:26:56 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 1987
[06-Apr-2026 16:27:06 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 1987
[06-Apr-2026 16:27:15 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 2071
